feed,weight,,,,,,
horsebean,179,,,,,,
horsebean,160,,Food Type,Min weight,Max weight,Mean weight,
horsebean,136,,casein,216,404,323.6,
horsebean,227,,horsebean,108,227,160.2,
horsebean,217,,linseed,141,309,218.8,
horsebean,168,,meatmeal,153,380,276.9,
horsebean,108,,soybean,158,329,246.4,
horsebean,124,,sunflower,226,423,328.9,
horsebean,143,,Grand Total,108,423,261.3,
horsebean,140,,,,,,
linseed,309,,Food Type,Sum of weights,,,
linseed,229,,casein,3883,,,
linseed,181,,horsebean,1602,,,
linseed,141,,linseed,2625,,,
linseed,260,,meatmeal,3046,,,
linseed,203,,soybean,3450,,,
linseed,148,,sunflower,3947,,,
linseed,169,,Grand Total,18553,,,
linseed,213,,,,,,
linseed,257,,,,,,
linseed,244,,,,,,
linseed,271,,,,,,
soybean,243,,,,,,
soybean,230,,,,,,
soybean,248,,,,,,
soybean,327,,,,,,
soybean,329,,,,,,
soybean,250,,,,,,
soybean,193,,,,,,
soybean,271,,,,,,
soybean,316,,,,,,
soybean,267,,,,,,
soybean,199,,,,,,
soybean,171,,,,,,
soybean,158,,,,,,
soybean,248,,,,,,
sunflower,423,,,,,,
sunflower,340,,,,,,
sunflower,392,,,,,,
sunflower,339,,,,,,
sunflower,341,,,,,,
sunflower,226,,,,,,
sunflower,320,,,,,,
sunflower,295,,,,,,
sunflower,334,,,,,,
sunflower,322,,,,,,
sunflower,297,,,,,,
sunflower,318,,,,,,
meatmeal,325,,,,,,
meatmeal,257,,,,,,
meatmeal,303,,,,,,
meatmeal,315,,,,,,
meatmeal,380,,,,,,
meatmeal,153,,,,,,
meatmeal,263,,,,,,
meatmeal,242,,,,,,
meatmeal,206,,,,,,
meatmeal,344,,,,,,
meatmeal,258,,,,,,
casein,368,,,,,,
casein,390,,,,,,
casein,379,,,,,,
casein,260,,,,,,
casein,404,,,,,,
casein,318,,,,,,
casein,352,,,,,,
casein,359,,,,,,
casein,216,,,,,,
casein,222,,,,,,
casein,283,,,,,,
casein,332,,,,,,
